title,price,img-src,link_produkt-href,chipset,ram,dlugosc,taktowanie,part_number
Power Color Red Dragon Radeon RX 550 LP 4GB GDDR5,646 zł,https://images.morele.net/i256/13094598_1_i256.jpg,https://www.morele.net/karta-graficzna-power-color-red-dragon-radeon-rx-550-lp-4gb-gddr5-axrx-550-4gbd5-hle-13094598/,Radeon RX 550,181 mm,181 mm,1071 MHz,AXRX 550 4GBD5-HLE
ASRock Radeon RX 6400 Low Profile 4GB GDDR6,"608,94 zł",https://images.morele.net/i256/14116339_0_i256.jpg,https://www.morele.net/karta-graficzna-asrock-radeon-rx-6400-low-profile-4gb-gddr6-rx6400-lp-4g-14116339/,Radeon RX 6400,150 mm,150 mm,2321 MHz,RX6400 LP 4G
Biostar Radeon RX 580 White 2048SP,"575,49 zł",https://images.morele.net/i256/14438031_0_i256.jpg,https://www.morele.net/karta-graficzna-biostar-radeon-rx-580-white-2048sp-va5825rq82-14438031/,Radeon RX 580,224 mm,224 mm,1244 MHz,VA5825RQ82
BIOSTAR GeForce GTX 1050 4GB,"528,73 zł",https://images.morele.net/i256/14454658_0_i256.jpg,https://www.morele.net/karta-graficzna-biostar-geforce-gtx-1050-4gb-14454658/,,,,,
A310 4GB Sparkle Intel Arc Omni View GDDR6 1 Fan,"505,71 zł",https://images.morele.net/i256/14730543_0_i256.jpg,https://www.morele.net/a310-4gb-sparkle-intel-arc-omni-view-gddr6-1-fan-14730543/,,,,,
Karta graf. SPARKLE Intel Arc A310 Omni View 4GB,"461,41 zł",https://images.morele.net/i256/14483430_0_i256.jpg,https://www.morele.net/karta-graf-sparkle-intel-arc-a310-omni-view-4gb-14483430/,,,,,
AFOX Radeon RX 550 4GB GDDR5,"416,99 zł",https://images.morele.net/i256/9641628_1_i256.jpg,https://www.morele.net/karta-graficzna-afox-radeon-rx-550-4gb-gddr5-afrx550-4096d5h4-v6-9641628/,Radeon RX 550,Brak danych,Brak danych,1183 MHz,AFRX550-4096D5H4-V6
Biostar Radeon RX 550 2GB GDDR5,"377,88 zł",https://images.morele.net/i256/12923119_1_i256.jpg,https://www.morele.net/karta-graficzna-biostar-radeon-rx-550-2gb-gddr5-va5505rf21-12923119/,Radeon RX 550,192 mm,192 mm,1183 MHz,VA5505RF21
Inno3D GeForce GT 1030 2GB GDDR5,"354,44 zł",https://images.morele.net/i256/1329092_0_i256.jpg,https://www.morele.net/karta-graficzna-inno3d-geforce-gt-1030-2gb-gddr5-n1030-1sdv-e5bl-1329092/,GeForce GT 1030,167 mm,167 mm,1468 MHz,N1030-1SDV-E5BL
AFOX Geforce GT1030 2GB GDDR5,"347,82 zł",https://images.morele.net/i256/8960029_0_i256.jpg,https://www.morele.net/karta-graficzna-afox-geforce-gt1030-2gb-gddr5-af1030-2048d5l5-v2-8960029/,GeForce GT 1030,Brak danych,Brak danych,1468 MHz,AF1030-2048D5L5-V2
Asus GeForce GT 730 2GB GDDR5,"320,32 zł",https://images.morele.net/i256/845530_5_i256.jpeg,https://www.morele.net/karta-graficzna-asus-geforce-gt-730-2gb-gddr5-gt730-sl-2gd5-brk-845530/,GeForce GT 730,145 mm,145 mm,Nie dotyczy,GT730-SL-2GD5-BRK
AFOX GeForce GT 420 4GB DDR3,"308,99 zł",https://images.morele.net/i256/8549173_0_i256.jpg,https://www.morele.net/karta-graficzna-afox-geforce-gt-420-4gb-ddr3-af420-4096d3l2-8549173/,GeForce GT 420,Brak danych,Brak danych,Brak danych,AF420-4096D3L2
