title,price,img-src,link_produkt-href,chipset,ram,dlugosc,taktowanie,part_number
XFX Quicksilver Radeon RX 9070 OC Gaming 16GB GDDR6,"3 099,56 zł",https://images.morele.net/i256/14777843_4_i256.jpg,https://www.morele.net/karta-graficzna-xfx-quicksilver-radeon-rx-9070-oc-gaming-16gb-gddr6-rx-97qickbb9-14777843/,Radeon RX 9070,350 mm,350 mm,2700 MHz,RX-97QICKBB9
Zotac GeForce RTX 5070 Solid OC 12GB GDDR7 DLSS4,"2 845,01 zł",https://images.morele.net/i256/14764365_7_i256.jpg,https://www.morele.net/karta-graficzna-zotac-geforce-rtx-5070-solid-oc-12gb-gddr7-dlss4-zt-b50700j-10p-14764365/,GeForce RTX 5070,304 mm,304 mm,2542 MHz,ZT-B50700J-10P
Power Color Fighter Radeon RX 7800 XT 16GB GDDR6,"2 358,87 zł",https://images.morele.net/i256/13126723_1_i256.jpg,https://www.morele.net/karta-graficzna-power-color-fighter-radeon-rx-7800-xt-16gb-gddr6-rx-7800-xt-16g-f-oc-13126723/,Radeon RX 7800 XT,303 mm,303 mm,2475 MHz,RX 7800 XT 16G-F/OC
XFX Speedster SWFT 210 Radeon RX 7800 XT Core 16GB GDDR6,"2 318,73 zł",https://images.morele.net/i256/13918672_0_i256.jpg,https://www.morele.net/karta-graficzna-xfx-speedster-swft-210-radeon-rx-7800-xt-core-16gb-gddr6-rx-78tswftfp-13918672/,Radeon RX 7800 XT,283 mm,283 mm,2430 MHz,RX-78TSWFTFP
Palit GeForce RTX 5060 Ti Infinity 3 OC 16GB GDDR7 DLSS4,"2 184,04 zł",https://images.morele.net/i256/14848078_0_i256.jpg,https://www.morele.net/karta-graficzna-palit-geforce-rtx-5060-ti-infinity-3-oc-16gb-gddr7-dlss4-ne7506ts19t1-gb2061s-14848078/,,,,,NE7506TS19T1-GB2061S
Asus Dual Radeon RX 7700 XT OC 12GB GDDR6,2 049 zł,https://images.morele.net/i256/13169804_13_i256.jpg,https://www.morele.net/karta-graficzna-asus-dual-radeon-rx-7700-xt-oc-12gb-gddr6-dual-rx7700xt-o12g-13169804/,Radeon RX 7700 XT,280 mm,280 mm,2599 MHz,DUAL-RX7700XT-O12G
Sapphire Pure Radeon RX 7700 XT Frost Punk 2 Edition 12GB GDDR6,"1 965,74 zł",https://images.morele.net/i256/13269242_0_i256.jpg,https://www.morele.net/karta-graficzna-sapphire-pure-radeon-rx-7700-xt-frost-punk-2-edition-12gb-gddr6-11335-08-50g-13269242/,Radeon RX 7700 XT,320 mm,320 mm,2584 MHz,11335-08-50G
PNY RTX A1000 8GB GDDR6,"1 898,19 zł",https://images.morele.net/i256/13239076_1_i256.jpg,https://www.morele.net/karta-graficzna-pny-rtx-a1000-8gb-gddr6-vcnrtxa1000-sb-13239076/,,,,,VCNRTXA1000-SB
Inno3D GeForce RTX 4060 Twin X2 OC White 8GB GDDR6,"1 813,91 zł",https://images.morele.net/i256/13122037_0_i256.jpg,https://www.morele.net/karta-graficzna-inno3d-geforce-rtx-4060-twin-x2-oc-white-8gb-gddr6-n40602-08d6x-173051w-13122037/,,,,,N40602-08D6X-173051W
Inno3D GeForce RTX 3060 Twin X2 OC LHR 8GB GDDR6,"1 381,98 zł",https://images.morele.net/i256/12801345_1_i256.jpg,https://www.morele.net/karta-graficzna-inno3d-geforce-rtx-3060-twin-x2-oc-lhr-8gb-gddr6-n30602-08d6x-11902130-12801345/,GeForce RTX 3060,240 mm,240 mm,1792 MHz,N30602-08D6X-11902130
Power Color Radeon RX 7600 Hellhound 8GB GDDR6,"1 364,78 zł",https://images.morele.net/i256/12919740_0_i256.jpg,https://www.morele.net/karta-graficzna-power-color-radeon-rx-7600-hellhound-8gb-gddr6-rx-7600-8g-l-oc-12919740/,Radeon RX 7600,223 mm,223 mm,2695 MHz,RX 7600 8G-L/OC
Biostar GeForce RTX 3060 12GB GDDR6,"1 297,25 zł",https://images.morele.net/i256/13130114_0_i256.jpg,https://www.morele.net/karta-graficzna-biostar-geforce-rtx-3060-12gb-gddr6-vn3606rml9-13130114/,GeForce RTX 3060,242 mm,242 mm,1777 MHz,VN3606RML9
Asus Phoenix GeForce RTX 3050 V2 8GB GDDR6,"1 231,61 zł",https://images.morele.net/i256/12801289_1_i256.jpg,https://www.morele.net/karta-graficzna-asus-phoenix-geforce-rtx-3050-v2-8gb-gddr6-ph-rtx3050-8g-v2-12801289/,GeForce RTX 3050,178 mm,178 mm,1807 MHz,PH-RTX3050-8G-V2
ASRock Arc B570 Challenger OC 10GB GDDR6,1 199 zł,https://images.morele.net/i256/14453145_0_i256.jpg,https://www.morele.net/karta-graficzna-asrock-arc-b570-challenger-oc-10gb-gddr6-b570-cl-10go-14453145/,Arc B570,249 mm,249 mm,2600 MHz,B570 CL 10GO
Gainward GeForce RTX 3050 Pegasus 8GB GDDR6,"1 115,83 zł",https://images.morele.net/i256/12593890_11_i256.jpg,https://www.morele.net/karta-graficzna-gainward-geforce-rtx-3050-pegasus-8gb-gddr6-471056224-3734-12593890/,GeForce RTX 3050,162 mm,162 mm,1777 MHz,471056224-3734
Asus Dual Radeon RX 6600 Gaming OC V3 8GB GDDR6,"1 022,15 zł",https://images.morele.net/i256/14211586_14_i256.jpg,https://www.morele.net/karta-graficzna-asus-dual-radeon-rx-6600-gaming-oc-v3-8gb-gddr6-dual-rx6600-8g-v3-14211586/,Radeon RX 6600,219 mm,219 mm,2491 MHz,DUAL-RX6600-8G-V3
Inno3D GeForce RTX 3050 Twin X2 8GB GDDR6,"978,99 zł",https://images.morele.net/i256/13133686_0_i256.jpg,https://www.morele.net/karta-graficzna-inno3d-geforce-rtx-3050-twin-x2-8gb-gddr6-n30502-08d6-1711va41-13133686/,,,,,N30502-08D6-1711VA41
PNY RTX A400 4GB GDDR6,"839,29 zł",https://images.morele.net/i256/13473773_0_i256.jpg,https://www.morele.net/karta-graficzna-pny-rtx-a400-4gb-gddr6-vcnrtxa400-sb-13473773/,,,,,VCNRTXA400-SB
Gigabyte GeForce RTX 3050 Windforce OC V2 6GB GDDR6,778 zł,https://images.morele.net/i256/14454835_1_i256.jpg,https://www.morele.net/karta-graficzna-gigabyte-geforce-rtx-3050-windforce-oc-v2-6gb-gddr6-gv-n3050wf2ocv2-6gd-14454835/,GeForce RTX 3050,191 mm,191 mm,1477 MHz,GV-N3050WF2OCV2-6GD
Sapphire Pulse Radeon RX 6500 XT ITX Pure OC 4GB GDDR6,"769,25 zł",https://images.morele.net/i256/13120224_0_i256.jpg,https://www.morele.net/karta-graficzna-sapphire-pulse-radeon-rx-6500-xt-itx-pure-oc-4gb-gddr6-11314-04-20g-13120224/,Radeon RX 6500 XT,153 mm,153 mm,2610 MHz,11314-04-20G
Karta graficznaBiostarGeForce GTX 1050 Ti 4GB GDDR5,"544,45 zł",https://images.morele.net/i256/13177979_0_i256.jpg,https://www.morele.net/karta-graficznabiostargeforce-gtx-1050-ti-4gb-gddr5-vn1055xf41-13177979/,GeForce GTX 1050 Ti,195 mm,195 mm,1455 MHz,VN1055XF41
AFOX Radeon RX 560 4GB GDDR5,523 zł,https://images.morele.net/i256/12242925_0_i256.jpg,https://www.morele.net/karta-graficzna-afox-radeon-rx-560-4gb-gddr5-afrx560-4096d5h4-v2-12242925/,Radeon RX 560,Brak danych,Brak danych,1275 MHz,AFRX560-4096D5H4-V2
AFOX GeForce GT 710 4GB DDR3,"209,95 zł",https://images.morele.net/i256/12996419_0_i256.jpg,https://www.morele.net/karta-graficzna-afox-geforce-gt-710-4gb-ddr3-af710-4096d3l7-v1-12996419/,GeForce GT 710,Brak danych,Brak danych,Nie dotyczy,AF710-4096D3L7-V1
AFOX GeForce GT 240 1GB DDR3,"145,90 zł",https://images.morele.net/i256/13173317_0_i256.jpg,https://www.morele.net/karta-graficzna-afox-geforce-gt-240-1gb-ddr3-af240-1024d3l2-v2-13173317/,GeForce GT 240,Brak danych,Brak danych,Nie dotyczy,AF240-1024D3L2-V2
AFOX Radeon HD 5450 1GB DDR3,"141,86 zł",https://images.morele.net/i256/6895019_1_i256.jpg,https://www.morele.net/karta-graficzna-afox-radeon-hd-5450-1gb-ddr3-af5450-1024d3l5-6895019/,Radeon HD5450,168 mm,168 mm,Nie dotyczy,AF5450-1024D3L5
Fujitsu GeForce 405 512MB DDR3,"54,90 zł",https://images.morele.net/i256/13659895_0_i256.jpg,https://www.morele.net/karta-graficzna-fujitsu-geforce-405-512mb-ddr3-s26361-d2422-v407-gs2-13659895/,GeForce 405,168 mm,168 mm,Nie dotyczy,S26361-D2422-V407 GS2
Gigabyte GeForce RTX 5070 Ti Windforce OC SFF 16GB GDDR7,"5 104,54 zł",https://images.morele.net/i256/14485558_8_i256.jpg,https://www.morele.net/karta-graficzna-gigabyte-geforce-rtx-5070-ti-windforce-oc-sff-16gb-gddr7-gv-n507twf3oc-16gd-14485558/,,,,,GV-N507TWF3OC-16GD
Asus ROG Strix GeForce RTX 4070 Ti SUPER OC 16GB GDDR6X,3 999 zł,https://images.morele.net/i256/13166583_0_i256.jpg,https://www.morele.net/karta-graficzna-asus-rog-strix-geforce-rtx-4070-ti-super-oc-16gb-gddr6x-rog-strix-rtx4070tis-o16g-gaming-13166583/,GeForce RTX 4070 Ti Super,336 mm,336 mm,2700 MHz,ROG-STRIX-RTX4070TIS-O16G-GAMING
Power Color Hellhound Radeon RX 7800 XT 16GB GDDR6,"2 411,98 zł",https://images.morele.net/i256/13095054_0_i256.jpg,https://www.morele.net/karta-graficzna-power-color-hellhound-radeon-rx-7800-xt-16gb-gddr6-rx-7800-xt-16g-l-oc-13095054/,Radeon RX 7800 XT,332 mm,332 mm,2520 MHz,RX 7800 XT 16G-L/OC
PNY Quadro P1000 4GB GDDR5,"1 519,98 zł",https://images.morele.net/i256/6535146_0_i256.jpg,https://www.morele.net/karta-graficzna-pny-quadro-p1000-4gb-gddr5-vcqp1000v2-pb-6535146/,Quadro P1000,145 mm,145 mm,1455 MHz,VCQP1000V2-PB
XFX Speedster SWFT 210 Radeon RX 6650 XT Core Gaming 8GB GDDR6,"1 192,10 zł",https://images.morele.net/i256/12906561_6_i256.jpg,https://www.morele.net/karta-graficzna-xfx-speedster-swft-210-radeon-rx-6650-xt-core-gaming-8gb-gddr6-rx-665x8dfdy-12906561/,Radeon RX 6650 XT,241 mm,241 mm,2635 MHz,RX-665X8DFDY
AMD Radeon Pro W6400 4GB GDDR6,992 zł,https://images.morele.net/i256/10155935_3_i256.jpg,https://www.morele.net/karta-graficzna-amd-radeon-pro-w6400-4gb-gddr6-100-506189-10155935/,Radeon Pro W6400,168 mm,168 mm,Nie dotyczy,100-506189
Asus Dual GeForce RTX 3050 OC 6GB GDDR6,799 zł,https://images.morele.net/i256/13177948_1_i256.jpg,https://www.morele.net/karta-graficzna-asus-dual-geforce-rtx-3050-oc-6gb-gddr6-dual-rtx3050-o6g-13177948/,GeForce RTX 3050,201 mm,201 mm,1537 MHz,DUAL-RTX3050-O6G
PNY GeForce RTX 3050 Verto Dual 6GB GDDR6,759 zł,https://images.morele.net/i256/13229488_10_i256.jpg,https://www.morele.net/karta-graficzna-pny-geforce-rtx-3050-verto-dual-6gb-gddr6-vcg30506dfxpb1-13229488/,GeForce RTX 3050,186 mm,186 mm,1470 MHz,VCG30506DFXPB1
Inno3D GeForce GT 710 2GB DDR3,"196,95 zł",https://images.morele.net/i256/857511_0_i256.jpeg,https://www.morele.net/karta-graficzna-inno3d-geforce-gt-710-2gb-ddr3-n710-1sdv-e3bx-857511/,GeForce GT 710,146 mm,146 mm,Nie dotyczy,N710-1SDV-E3BX
MSI GeForce RTX 3080 Ti Ventus 3X OC 12GB GDDR6X,9 266 zł,https://images.morele.net/i256/5948201_0_i256.jpg,https://www.morele.net/karta-graficzna-msi-geforce-rtx-3080-ti-ventus-3x-oc-12gb-gddr6x-rtx-3080-ti-ventus-3x-12g-oc-5948201/,GeForce RTX 3080 Ti,305 mm,305 mm,1695 MHz,RTX 3080 Ti VENTUS 3X 12G OC
ASRock Radeon RX 6800 XT Taichi X OC 16G B GDDR6,"6 372,68 zł",https://images.morele.net/i256/7497490_0_i256.jpg,https://www.morele.net/karta-graficzna-asrock-radeon-rx-6800-xt-taichi-x-oc-16g-b-gddr6-rx6800xt-tcx-16go-7497490/,Radeon RX 6800 XT,330 mm,330 mm,2360 MHz,RX6800XT TCX 16GO
Palit GeForce RTX 5080 GameRock 16GB GDDR7,5 999 zł,https://images.morele.net/i256/14485258_0_i256.jpg,https://www.morele.net/karta-graficzna-palit-geforce-rtx-5080-gamerock-16gb-gddr7-ne75080019t2-gb2030g-14485258/,GeForce RTX 5080,332 mm,332 mm,2617 MHz,NE75080019T2-GB2030G
PNY RTX A4000 16GB GDDR6,"5 958,32 zł",https://images.morele.net/i256/8658168_0_i256.jpg,https://www.morele.net/karta-graficzna-pny-rtx-a4000-16gb-gddr6-vcnrtxa4000-pb-8658168/,,,,,VCNRTXA4000-PB
Asus Prime GeForce RTX 5070 Ti OC 16GB GDDR7,4 399 zł,https://images.morele.net/i256/14486804_0_i256.jpg,https://www.morele.net/karta-graficzna-asus-prime-geforce-rtx-5070-ti-oc-16gb-gddr7-prime-rtx5070ti-o16g-14486804/,GeForce RTX 5070 Ti,306 mm,306 mm,2527 MHz,PRIME-RTX5070TI-O16G
Zotac Gaming GeForce RTX 4070 Ti SUPER Solid 16GB GDDR6X,"4 091,77 zł",https://images.morele.net/i256/13270363_0_i256.jpg,https://www.morele.net/karta-graficzna-zotac-gaming-geforce-rtx-4070-ti-super-solid-16gb-gddr6x-zt-d40730r-10p-13270363/,GeForce RTX 4070 Ti Super,337 mm,337 mm,2610 MHz,ZT-D40730R-10P
Sapphire Pure Radeon RX 9070 XT 16GB GDDR6,"3 499,01 zł",https://images.morele.net/i256/14732576_0_i256.jpg,https://www.morele.net/karta-graficzna-sapphire-pure-radeon-rx-9070-xt-16gb-gddr6-11348-02-20g-14732576/,Radeon RX 9070 XT,320 mm,320 mm,3010 MHz,11348-02-20G
Gigabyte GeForce RTX 4070 Windforce 2X OC 12GB GDDR6X,"2 841,90 zł",https://images.morele.net/i256/13146290_0_i256.jpg,https://www.morele.net/karta-graficzna-gigabyte-geforce-rtx-4070-windforce-2x-oc-12gb-gddr6x-gv-n4070wf2oc-12gd-13146290/,GeForce RTX 4070,201 mm,201 mm,2490 MHz,GV-N4070WF2OC-12GD
Gigabyte GeForce RTX 5070 Windforce SFF 12GB GDDR7 DLSS4,2 839 zł,https://images.morele.net/i256/14855269_0_i256.jpg,https://www.morele.net/karta-graficzna-gigabyte-geforce-rtx-5070-windforce-sff-12gb-gddr7-dlss4-gv-n5070wf3-12gd-14855269/,GeForce RTX 5070,282 mm,282 mm,Brak danych,GV-N5070WF3-12GD
Power Color Fighter Radeon RX 7700 XT 12GB GDDR6,2 121 zł,https://images.morele.net/i256/13095057_0_i256.jpg,https://www.morele.net/karta-graficzna-power-color-fighter-radeon-rx-7700-xt-12gb-gddr6-rx-7700-xt-12g-f-oc-13095057/,Radeon RX 7700 XT,303 mm,303 mm,2250 MHz,RX 7700 XT 12G-F/OC
AMD Radeon Pro W 5700 8GB GDDR6,"2 155,73 zł",https://images.morele.net/i256/6641261_0_i256.jpg,https://www.morele.net/karta-graficzna-amd-radeon-pro-w-5700-8gb-gddr6-100-506085-6641261/,Radeon Pro W5700,267 mm,267 mm,1930 MHz,100-506085
Asus TUF GeForce GTX 1660 Gaming OC 6GB GDDR5,"1 945,98 zł",https://images.morele.net/i256/5887532_6_i256.jpg,https://www.morele.net/karta-graficzna-asus-tuf-geforce-gtx-1660-gaming-oc-6gb-gddr5-tuf-gtx1660-o6g-gaming-5887532/,GeForce GTX 1660,205 mm,205 mm,1845 MHz,TUF-GTX1660-O6G-GAMING
PNY Quadro T1000 8GB GDDR6,"1 722,43 zł",https://images.morele.net/i256/9704852_0_i256.jpg,https://www.morele.net/karta-graficzna-pny-quadro-t1000-8gb-gddr6-vcnt1000-8gb-sb-9704852/,,,,,VCNT1000-8GB-SB
Biostar GeForce RTX 3060 Ti 8GB GDDR6X,"1 527,61 zł",https://images.morele.net/i256/13181667_0_i256.jpg,https://www.morele.net/karta-graficzna-biostar-geforce-rtx-3060-ti-8gb-gddr6x-n3606tm82-13181667/,GeForce RTX 3060 Ti,242 mm,242 mm,1665 MHz,N3606TM82
Sparkle Arc A770 Titan OC Edition 16GB GDDR6,"1 431,63 zł",https://images.morele.net/i256/13120230_0_i256.jpg,https://www.morele.net/karta-graficzna-sparkle-arc-a770-titan-oc-edition-16gb-gddr6-sa770t-16goc-13120230/,Arc A770,306 mm,306 mm,2300 MHz,SA770T-16GOC
PNY Quadro P1000 4GB GDDR5,"1 397,67 zł",https://images.morele.net/i256/6517112_0_i256.jpg,https://www.morele.net/karta-graficzna-pny-quadro-p1000-4gb-gddr5-vcqp1000dviv2-pb-6517112/,Quadro P1000,145 mm,145 mm,1455 MHz,VCQP1000DVIV2-PB
Sparkle Arc B580 Titan OC 12GB GDDR6,"1 371,82 zł",https://images.morele.net/i256/14460684_0_i256.jpg,https://www.morele.net/karta-graficzna-sparkle-arc-b580-titan-oc-12gb-gddr6-sb580t-12goc-14460684/,Arc B580,315 mm,315 mm,2740 MHz,SB580T-12GOC
Inno3D GeForce RTX 3060 Twin X2 LHR 8GB GDDR6,"1 355,54 zł",https://images.morele.net/i256/12739107_2_i256.jpg,https://www.morele.net/karta-graficzna-inno3d-geforce-rtx-3060-twin-x2-lhr-8gb-gddr6-n30602-08d6-11902130-12739107/,GeForce RTX 3060,240 mm,240 mm,1777 MHz,N30602-08D6-11902130
ASRock Arc A770 Challenger OC 16GB GDDR6,"1 289,22 zł",https://images.morele.net/i256/13122494_0_i256.jpg,https://www.morele.net/karta-graficzna-asrock-arc-a770-challenger-oc-16gb-gddr6-a770-cl-16go-13122494/,Arc A770,271 mm,271 mm,2400 MHz,A770 CL 16GO
Power Color Radeon RX 7600 Fighter 8GB GDDR6,"1 105,77 zł",https://images.morele.net/i256/12919739_0_i256.jpg,https://www.morele.net/karta-graficzna-power-color-radeon-rx-7600-fighter-8gb-gddr6-rx-7600-8g-f-12919739/,Radeon RX 7600,200 mm,200 mm,2655 MHz,RX 7600 8G-F
AFOX Radeon RX 570 8GB GDDR5,"724,70 zł",https://images.morele.net/i256/9624379_0_i256.jpg,https://www.morele.net/karta-graficzna-afox-radeon-rx-570-8gb-gddr5-afrx570-8192d5h3-v2-9624379/,Radeon RX 570,Brak danych,Brak danych,1244 MHz,AFRX570-8192D5H3-V2
Sparkle Arc A310 ECO 4GB GDDR6,"528,99 zł",https://images.morele.net/i256/13248526_1_i256.jpg,https://www.morele.net/karta-graficzna-sparkle-arc-a310-eco-4gb-gddr6-sa310c-4g-13248526/,Arc A310,156 mm,156 mm,Brak danych,SA310C-4G
Biostar GeForce GT 610 2GB DDR3,"201,99 zł",https://images.morele.net/i256/5946476_1_i256.jpg,https://www.morele.net/karta-graficzna-biostar-geforce-gt-610-2gb-ddr3-vn6103thx6-5946476/,GeForce GT 610,Brak danych,Brak danych,Nie dotyczy,VN6103THX6
Zotac GeForce GT 710 2GB DDR3,"196,07 zł",https://images.morele.net/i256/11735967_1_i256.jpg,https://www.morele.net/karta-graficzna-zotac-geforce-gt-710-2gb-ddr3-zt-71310-10l-11735967/,GeForce GT 710,Brak danych,Brak danych,Brak danych,ZT-71310-10L
Sapphire Pulse Radeon RX 9070 XT 16GB GDDR6,"3 454,79 zł",https://images.morele.net/i256/14732579_0_i256.jpg,https://www.morele.net/karta-graficzna-sapphire-pulse-radeon-rx-9070-xt-16gb-gddr6-11348-03-20g-14732579/,Radeon RX 9070 XT,320 mm,320 mm,2970 MHz,11348-03-20G
PNY RTX A4000 16GB GDDR6,"5 459,28 zł",https://images.morele.net/i256/8658169_0_i256.jpg,https://www.morele.net/karta-graficzna-pny-rtx-a4000-16gb-gddr6-vcnrtxa4000-sb-8658169/,,,,,VCNRTXA4000-SB
Asus TUF GeForce RTX 5070 Ti OC 16GB GDDR7,4 699 zł,https://images.morele.net/i256/14486744_0_i256.jpg,https://www.morele.net/karta-graficzna-asus-tuf-geforce-rtx-5070-ti-oc-16gb-gddr7-tuf-rtx5070ti-o16g-gaming-14486744/,GeForce RTX 5070 Ti,329 mm,329 mm,2610 MHz,TUF-RTX5070TI-O16G-GAMING
Asus Prime GeForce RTX 5070 OC 12GB GDDR7 DLSS4,2 849 zł,https://images.morele.net/i256/14735376_0_i256.jpg,https://www.morele.net/karta-graficzna-asus-prime-geforce-rtx-5070-oc-12gb-gddr7-dlss4-prime-rtx5070-o12g-14735376/,,,,,PRIME-RTX5070-O12G
Asus TUF Gaming Radeon RX 7700 XT OC 12GB GDDR6,,https://images.morele.net/i256/13115237_15_i256.jpg,https://www.morele.net/karta-graficzna-asus-tuf-gaming-radeon-rx-7700-xt-oc-12gb-gddr6-tuf-rx7700xt-o12g-gaming-13115237/,Radeon RX 7700 XT,320 mm,320 mm,2599 MHz,TUF-RX7700XT-O12G-GAMING
Zotac Gaming GeForce RTX 4060 Twin Edge OC White 8GB GDDR6,"1 633,85 zł",https://images.morele.net/i256/12960748_0_i256.jpg,https://www.morele.net/karta-graficzna-zotac-gaming-geforce-rtx-4060-twin-edge-oc-white-8gb-gddr6-zt-d40600q-10m-12960748/,,,,,ZT-D40600Q-10M
ASRock Arc A750 Challenger D OC 8GB GDDR6,"1 501,99 zł",https://images.morele.net/i256/12285820_5_i256.jpg,https://www.morele.net/karta-graficzna-asrock-arc-a750-challenger-d-oc-8gb-gddr6-a750-cld-8go-12285820/,Arc A750,271 mm,271 mm,Brak danych,A750 CLD 8GO
AFOX GeForce RTX 2060 Super 8GB GDDR6,"1 218,84 zł",https://images.morele.net/i256/13133257_0_i256.jpg,https://www.morele.net/karta-graficzna-afox-geforce-rtx-2060-super-8gb-gddr6-af2060s-8192d6h4-v2-13133257/,GeForce RTX 2060 Super,Brak danych,Brak danych,1650 MHz,AF2060S-8192D6H4-V2
AFOX GeForce GT 220 1GB GDDR3,"144,93 zł",https://images.morele.net/i256/8224557_0_i256.jpg,https://www.morele.net/karta-graficzna-afox-geforce-gt-220-1gb-gddr3-af220-1024d3l2-8224557/,GeForce GT 220,Brak danych,Brak danych,Brak danych,AF220-1024D3L2
Inno3D GeForce RTX 3080 Ti iChill X4 12GB GDDR6X,,https://images.morele.net/i256/5947964_0_i256.jpg,https://www.morele.net/karta-graficzna-inno3d-geforce-rtx-3080-ti-ichill-x4-12gb-gddr6x-c308t4-126xx-1810va36-5947964/,GeForce RTX 3080 Ti,300 mm,300 mm,1710 MHz,C308T4-126XX-1810VA36
Sapphire Nitro+ Radeon RX 9070 XT 16GB GDDR6,"3 646,49 zł",https://images.morele.net/i256/14732572_0_i256.jpg,https://www.morele.net/karta-graficzna-sapphire-nitro-radeon-rx-9070-xt-16gb-gddr6-11348-01-20g-14732572/,Radeon RX 9070 XT,331 mm,331 mm,3060 MHz,11348-01-20G
XFX Swift Radeon RX 9070 OC Triple Fan Gaming 16GB GDDR6,3 249 zł,https://images.morele.net/i256/14739182_0_i256.jpg,https://www.morele.net/karta-graficzna-xfx-swift-radeon-rx-9070-oc-triple-fan-gaming-16gb-gddr6-rx-97swfb3b9-14739182/,,,,,RX-97SWFB3B9
Gigabyte Radeon RX 9070 Gaming OC 16GB GDDR6,3 199 zł,https://images.morele.net/i256/14731782_0_i256.jpg,https://www.morele.net/karta-graficzna-gigabyte-radeon-rx-9070-gaming-oc-16gb-gddr6-gv-r9070gaming-oc-16gd-14731782/,Radeon RX 9070,288 mm,288 mm,Brak danych,GV-R9070GAMING OC-16GD
Gigabyte GeForce RTX 5070 Windforce OC SFF 12GB GDDR7,2 899 zł,https://images.morele.net/i256/14485262_5_i256.jpg,https://www.morele.net/karta-graficzna-gigabyte-geforce-rtx-5070-windforce-oc-sff-12gb-gddr7-gv-n5070wf3oc-12gd-14485262/,GeForce RTX 5070,282 mm,282 mm,Brak danych,GV-N5070WF3OC-12GD
ASRock Arc B580 Challenger OC 12GB GDDR6,"1 295,26 zł",https://images.morele.net/i256/14450505_0_i256.jpg,https://www.morele.net/karta-graficzna-asrock-arc-b580-challenger-oc-12gb-gddr6-b580-cl-12go-14450505/,Arc B580,249 mm,249 mm,2740 MHz,B580 CL 12GO
AFOX GeForce GT 210 1GB DDR2,"146,03 zł",https://images.morele.net/i256/6699669_0_i256.jpg,https://www.morele.net/karta-graficzna-afox-geforce-gt-210-1gb-ddr2-af210-1024d2lg2-v7-6699669/,GeForce GT 210,150 mm,150 mm,Nie dotyczy,AF210-1024D2LG2-V7
Gigabyte AORUS Radeon RX 9070 XT Elite 16GB GDDR6,3 599 zł,https://images.morele.net/i256/14731776_0_i256.jpg,https://www.morele.net/karta-graficzna-gigabyte-aorus-radeon-rx-9070-xt-elite-16gb-gddr6-gv-r9070xtaorus-e-16gd-14731776/,Radeon RX 9070 XT,339 mm,339 mm,Brak danych,GV-R9070XTAORUS E-16GD
Gigabyte GeForce RTX 5080 Gaming OC 16GB GDDR7,5 999 zł,https://images.morele.net/i256/14485974_8_i256.jpg,https://www.morele.net/karta-graficzna-gigabyte-geforce-rtx-5080-gaming-oc-16gb-gddr7-gv-n5080gaming-oc-16gd-14485974/,GeForce RTX 5080,342 mm,342 mm,2730 MHz,GV-N5080GAMING OC-16GD
Zotac Gaming GeForce RTX 5070 Ti AMP Extreme INFINITY 16GB GDDR7,"4 624,68 zł",https://images.morele.net/i256/14689677_7_i256.jpg,https://www.morele.net/karta-graficzna-zotac-gaming-geforce-rtx-5070-ti-amp-extreme-infinity-16gb-gddr7-zt-b50710b-10p-14689677/,GeForce RTX 5070 Ti,332 mm,332 mm,2512 MHz,ZT-B50710B-10P
XFX Mercury Radeon RX 9070 XT OC Gaming RGB 16GB GDDR6,"3 720,35 zł",https://images.morele.net/i256/14771925_8_i256.jpg,https://www.morele.net/karta-graficzna-xfx-mercury-radeon-rx-9070-xt-oc-gaming-rgb-16gb-gddr6-rx-97trgbbb9-14771925/,Radeon RX 9070 XT,360 mm,360 mm,3100 MHz,RX-97TRGBBB9
XFX Swift Radeon RX 9070 XT Triple Fan Gaming 16GB GDDR6,"3 440,16 zł",https://images.morele.net/i256/14739185_0_i256.jpg,https://www.morele.net/karta-graficzna-xfx-swift-radeon-rx-9070-xt-triple-fan-gaming-16gb-gddr6-rx-97tswf3b9-14739185/,Radeon RX 9070 XT,325 mm,325 mm,2970 MHz,RX-97TSWF3B9
Palit GeForce RTX 4060 StormX 8GB GDDR6,1 299 zł,https://images.morele.net/i256/12960737_0_i256.jpg,https://www.morele.net/karta-graficzna-palit-geforce-rtx-4060-stormx-8gb-gddr6-ne64060019p1-1070f-12960737/,GeForce RTX 4060,170 mm,170 mm,2460 MHz,NE64060019P1-1070F
PNY Quadro T400 4GB GDDR6,"738,62 zł",https://images.morele.net/i256/9856260_0_i256.jpg,https://www.morele.net/karta-graficzna-pny-quadro-t400-4gb-gddr6-vcnt400-4gb-sb-9856260/,Quadro T400,156 mm,156 mm,1425 MHz,VCNT400-4GB-SB
XFX Speedster SWFT 210 Radeon RX 7600 XT 16GB GDDR6,1 690 zł,https://images.morele.net/i256/13174189_5_i256.jpg,https://www.morele.net/karta-graficzna-xfx-speedster-swft-210-radeon-rx-7600-xt-16gb-gddr6-rx-76tswftfp-13174189/,Radeon RX 7600 XT,241 mm,241 mm,2755 MHz,RX-76TSWFTFP
Biostar Radeon RX 580 8GB GDDR5,"534,71 zł",https://images.morele.net/i256/13172856_1_i256.jpg,https://www.morele.net/karta-graficzna-biostar-radeon-rx-580-8gb-gddr5-va5815tq82-13172856/,Radeon RX 580,Brak danych,Brak danych,Brak danych,VA5815TQ82
